Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2023-0341-CHN,2023,0341,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,Leshan City (Sichuan province); Yiliang County (Yunnan province),Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2023,6,1,2023,6,5,25,,,,,,,,,,,,2,,13264,Leshan (Adm2).
2023-0417-CHN,2023,0417,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,"Sichuan, Henan, Hunan, Guizhou, Shaanxi and Yunan and the Inner Mongolia Autonomous Region",,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2023,7,2,2023,7,5,21,,95000,14000,109000,,,,,,,,1,905;909;912;920;924;929,,"Guizhou Sheng, Henan Sheng, Hunan Sheng, Shaanxi Sheng, Sichuan Sheng, Yunnan Sheng (Adm1)."
2023-0285-CHN,2023,0285,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,Jiangxi Province,Heavy rains,Broken Dam/Burst bank,,,,,,,Km2,,,,,2023,5,5,2023,5,8,,,497000,,497000,,,,,75235,,,,,,
2023-0409-ARM,2023,0409,ST-2023-000106,Natural,Meteorological,Storm,Convective storm,Hail,,Armenia,ARM,Western Asia,Asia,"Lori, Tavush, Syunik, Shirak",,Flood,,,,,,,Kph,,,,,2023,6,15,2023,6,19,,,16000,,16000,,,,,,,,1,458;460;461;462,,"Lori, Shirak, Syunik, Tavush (Adm1)."
2023-0019-AFG,2023,0019,,Natural,Meteorological,Extreme temperature,Cold wave,,,Afghanistan,AFG,Southern Asia,Asia,"Ghor, Baghlan, Sar-e-Pul, Faryab, Takhar, Kandahar, Nimroz and Badghis",,Intoxication,,,,,,-33,°C,,,,,2023,1,9,2023,1,23,70,140,,,140,,,,,,,,1,273;274;278;280;285;293;299;300,,"Badghis, Baghlan, Faryab, Ghor, Kandahar, Nimroz, Sar-e-Pul, Takhar (Adm1)."
2023-0156-AFG,2023,0156,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,Hindu Kush Mountain,,,,,,,,7,Richter,36.519,70.946,21:17,,2023,3,21,2023,3,21,5,80,3265,,3345,,,,,,,,,,,
2023-0291-AFG,2023,0291,,Natural,Hydrological,Flood,Flash flood,,,Afghanistan,AFG,Southern Asia,Asia,Nangarhar Province,Heavy rains,,,,,,,,Km2,,,,,2023,5,5,2023,5,5,4,25,1500,,1525,,,,,,,,1,292,,Nangarhar (Adm1).
2023-0254-BGD,2023,0254,,Natural,Meteorological,Storm,Convective storm,,,Bangladesh,BGD,Southern Asia,Asia,"Netrokona, Sylhet, Sunamganj and Maulbi Bazar",,,,,,,,,Kph,,,,,2023,4,23,2023,4,23,10,,,,,,,,,,,,1;2,580,5790,Sylhet (Adm1). Netrakona (Adm2).
2023-0294-BGD,2023,0294,TEC-2023-000069/TC-2023-000071,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Mocha',Bangladesh,BGD,Southern Asia,Asia,"Cox's Bazar, St Martin Island",,,,,,,,,Kph,,,,,2023,5,14,2023,5,14,3,12,450000,,450012,,,,,1000,,,,,,
2023-0473-BGD,2023,0473,EP-2023-00117,Natural,Biological,Epidemic,Viral disease,,Dengue,Bangladesh,BGD,Southern Asia,Asia,"Barisal, Chittagong, Dhaka",,,,,,,,,Vaccinated,,,,,2023,1,,2023,7,18,127,,,,,,,,,,,,,,,
